full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
zstmfhy/Claude-code,191,191,285,0,0,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5277,5277,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2355,2355,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2471,2471,353,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
nicedreamzapp/claude-code-local,1841,1841,371,29,29,6,https://github.com/nicedreamzapp/claude-code-local
wanshuiyin/Auto-claude-code-research-in-sleep,7169,7169,672,4,4,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Alishahryar1/free-claude-code,2012,2012,375,6,6,1,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-security-review,4338,4338,388,3,3,2,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2475,2475,344,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,1959,1959,520,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
sickn33/antigravity-awesome-skills,34372,34372,5681,27,27,3,https://github.com/sickn33/antigravity-awesome-skills
alejandrobalderas/claude-code-from-source,1673,1673,516,1,1,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2589,2589,291,0,0,0,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2625,2625,289,0,0,0,https://github.com/Cranot/claude-code-guide
fazxes/Claude-code,208,208,207,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,373,373,614,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,797,797,599,0,0,0,https://github.com/anthropics/claude-code-base-action
forrestchang/andrej-karpathy-skills,71384,71384,6501,440,440,49,https://github.com/forrestchang/andrej-karpathy-skills
router-for-me/CLIProxyAPI,27715,27715,4581,24,24,1,https://github.com/router-for-me/CLIProxyAPI
luyao618/Claude-Code-Source-Study,1205,1205,478,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
https-deeplearning-ai/sc-claude-code-files,491,491,681,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,952,952,359,0,0,0,https://github.com/repowise-dev/claude-code-prompts
JrCx7scC/claude-code-source,355,355,527,0,0,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
rohitg00/awesome-claude-code-toolkit,1372,1372,418,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
bfly123/claude_code_bridge,2320,2320,217,2,2,0,https://github.com/bfly123/claude_code_bridge
edmund-io/edmunds-claude-code,1406,1406,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3676,3676,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,30493,30493,2826,23,23,2,https://github.com/Yeachan-Heo/oh-my-claudecode
snarktank/ralph,17568,17568,1749,11,11,0,https://github.com/snarktank/ralph
eyaltoledano/claude-task-master,26638,26638,2485,6,6,0,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-plugins-official,17494,17494,2070,8,8,1,https://github.com/anthropics/claude-plugins-official
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3424,3424,662,1,1,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,492,492,393,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
carlvellotti/claude-code-pm-course,1892,1892,294,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
wshobson/agents,34030,34030,3690,7,7,1,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,973,973,556,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
alirezarezvani/claude-skills,12190,12190,1606,16,16,0,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,575,575,510,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
luongnv89/claude-howto,28035,28035,3424,31,31,3,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1452,1452,217,2,2,0,https://github.com/feiskyer/claude-code-settings
slopus/happy,18892,18892,1546,8,8,2,https://github.com/slopus/happy
farion1231/cc-switch,48446,48446,3100,33,33,2,https://github.com/farion1231/cc-switch
sugyan/claude-code-webui,1037,1037,240,0,0,1,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,208,208,456,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
Windy3f3f3f3f/claude-code-from-scratch,976,976,331,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
NanmiCoder/cc-haha,7784,7784,6964,29,29,9,https://github.com/NanmiCoder/cc-haha
garrytan/gstack,79376,79376,11430,114,114,25,https://github.com/garrytan/gstack
